#####################################################
## ADJECTIEVENLIJST EN REFERENTIENUMMERS
## Bron: Het achtste vuur 
#####################################################
## opmaakt moet er uit zien zoals op volgende lijn
## adjectief: nummer1, nummer2, ..., nummern
## Voorbeeld:
## Aangenaam: 33, 188, 266
#####################################################
Onverschrokken:	64, 381
Onverstoorbaar:	196
Onvoorzichtig:	29, 107, 161
Onzeker:	103
Opdringerig:	74, 238
Openhartig:	322, 335, 347
Opgeruimd:	46, 337
Opgewekt:	16, 197, 203, 211, 212, 228, 237, 273, 298, 316, 324, 328, 334, 337, 351, 373, 379, 383
Opgewonden:	34, 74, 132, 372
Oplettend:	68, 86, 126, 190, 260, 291, 321
Opmerkelijk:	219, 236, 251, 319, 325, 339, 350, 352, 365
Opmerkzaam:	11, 12, 14, 18, 21, 31, 45, 80, 118, 123, 132, 176, 177, 179, 207, 208, 211, 213, 225, 234, 244, 253, 255, 261, 263, 265, 280, 288, 318, 368
Opofferingsgezind:28, 120, 316, 323
Oppervlakkig:	164, 304, 349
Opvallend:	49, 64, 71, 84, 85, 115, 124, 138, 146, 171, 299, 311, 377
Opvliegend:	75, 78, 269, 303, 307, 312, 352
Ordelijk:	26, 129, 304, 307, 312, 320, 336, 346, 363
Ordentelijk:	73
Overleggend:	351
Paniekerig:	339
Parmantig:	38, 141
Plagerig:	16, 298, 379
Plichtsgetrouw:	62
Plomp:		361, 391
Populair:	3, 73, 392
Potsierlijk:	2, 40, 73
Prachtig:	7, 364, 366
Praktisch:	344, 363
Prikkelbaar:	9, 162, 189, 198, 264, 276
Pronkend:	113, 124, 126, 358, 380
Proper:		341, 361, 370
Roekeloos:	18, 205, 235
Ruig:		19, 388
Rumoerig:	25
Rusteloos:	10, 114, 232, 234, 301, 316, 330, 336, 339, 366
Rustig:		15, 26, 75, 79, 90, 99, 113, 143, 159, 181, 192, 198, 200, 201, 222, 227, 243, 272, 304, 319, 321, 323, 325, 327, 337, 338, 342, 348, 378, 385
Samenwerkend:	48, 139, 142, 149, 185, 303, 304, 330, 336, 350
Schattig:	205, 392
Scherpzinnig:	10, 37, 104, 120, 131, 135, 136, 147, 156, 317, 380, 387
Schertsend:	329
Schrikachtig:	319, 328, 358, 360, 383
Schrokkerig:	5
Schuw:		1, 25, 26, 29, 32, 45, 47, 53, 55, 56, 57, 60, 65, 72, 82, 83, 86, 87, 89, 93, 94, 95, 107, 110, 112, 115, 117, 118, 127, 135, 136, 141, 142, 147, 155, 162, 167, 168, 176, 177, 179, 187, 189, 199, 213, 216, 217, 219, 222, 223, 225, 235, 238, 242, 244, 254, 259, 260, 265, 272, 275, 285, 289, 292, 295, 302, 333, 358, 360, 367, 382, 393
Sierlijk:	7, 63, 65, 71, 93, 105, 115, 132, 135, 136, 148, 152, 158, 168, 180, 183, 187, 192, 207, 210, 217, 254, 275, 279, 281, 305, 362, 368, 375, 376, 389, 393
Slank:		14, 43, 46, 52, 128, 134, 147, 152, 168, 210, 318, 369, 376
Slim:		10, 58, 69, 71, 100, 108, 120, 127, 157, 165, 170, 192, 226, 238, 251, 262, 269, 272, 282, 285, 314, 322, 324, 328, 337, 349, 354, 380, 387, 390, 393
Slordig:	34, 148, 197, 267, 296, 329
Sluw:		17, 72, 80, 149, 165, 211, 212, 269, 304, 307, 312, 313, 327, 376, 384, 393
Snel:		4, 5, 12, 14, 17, 24, 32, 36, 37, 52, 53, 60, 65, 66, 71, 75, 77, 86, 91, 94, 96, 100, 101, 103, 105, 106, 110, 115, 118, 125, 128, 130, 134, 136, 138, 147, 149, 152, 156, 168, 169, 173, 177, 182, 186, 187, 194, 198, 203, 207, 211, 212, 213, 215, 220, 226, 227, 231, 236, 242, 243, 244, 258, 263, 274, 284, 285, 286, 292, 294, 299, 301, 318, 320, 321, 322, 324, 331, 332, 339, 342, 344, 345, 346, 347, 352, 359, 362, 367, 368, 371, 372, 383, 394, 395
Sober:		35, 63, 158
Sociaal:	1, 13, 14, 15, 16, 20, 24, 25, 27, 28, 34, 41, 43, 50, 52, 74, 78, 84, 86, 88, 91, 98, 101, 106, 109, 115, 117, 119, 122, 133, 135, 137, 139, 143, 147, 148, 152, 154, 161, 163, 165, 166, 170, 174, 175, 180, 191, 196, 197, 200, 227, 228, 230, 231, 237, 238, 243, 259, 274, 278, 283, 296, 299, 301, 303, 307, 312, 318, 320, 331, 334, 338, 341, 343, 347, 350, 354, 355, 363, 369, 374, 383, 388, 391, 395
Soepel:		358
Solitair:	4, 11, 21, 30, 31, 32, 42, 51, 53, 56, 67, 75, 94, 110, 120, 123, 129, 130, 140, 143, 149, 150, 155, 177, 202, 214, 219, 253, 284, 295, 297, 302, 323, 325, 339, 348, 362, 384, 394
Spaarzaam:	123, 129, 151, 322
Speels:		16, 24, 34, 50, 80, 106, 119, 121, 139, 149, 162, 256, 268, 331, 337, 343, 351, 354, 357
Spontaan:	268
Sportief:	133, 309, 357
Spottend:	396
Standvastig:	26, 272, 348, 377
Statig:		7, 79, 113, 182, 192, 262, 282, 390
Sterk:		10, 19, 22, 75, 78, 98, 121, 130, 142, 144, 202, 213, 214, 231, 250, 261, 317, 325, 332, 343, 370, 384, 388, 389
Stevig:		19, 20, 218, 335
Stil:		18, 70, 89, 241, 306, 348, 361
Stilzwijgend:	370
Stoutmoedig:	175, 209, 376, 381, 383, 396
Streng:		93, 342
Strijdlustig:	234, 294
Sympathiek:	46, 368
Taai:		19, 37, 63, 158, 165, 166, 194, 242, 290, 292, 388
Tam:		23, 33, 35, 85, 92, 136, 141, 168, 366
Teder:		47, 272, 393
Temperamentvol:	109, 150, 369
Territoriaal:	33, 87, 89, 93, 100, 115, 126, 141, 307, 320, 322, 336, 342
Tevreden:	272, 283
Toegewijd:	46, 90, 300
Traag:		18, 51, 97, 159, 353, 378, 386
Trots:		9, 17, 202, 211, 212, 241, 269, 270, 311, 313, 316
Trouw:		11, 15, 18, 23, 27, 33, 46, 48, 85, 93, 111, 116, 122, 132, 138, 140, 142, 155, 172, 211, 212, 222, 244, 247, 269, 272, 300, 302, 306, 317, 320, 321, 342, 377
Twistziek:	184, 228, 369
Uitdagend:	5, 71, 314
Uithoudend:	19, 22, 24, 44, 52, 63, 78, 107, 121, 139, 142, 144, 152, 158, 165, 191, 306, 344, 356, 384, 386, 388, 389
Vasthoudend:	56
Vechtlustig:	74, 135, 187, 193, 206, 214, 221, 263, 299
Veelzijdig:	19, 228, 388
Verantwoordelijk:317, 333
Verdedigend:	73, 75, 77, 81, 88, 108, 126, 313, 319, 325, 337, 342, 348, 360, 394, 395
Verdraagzaam:	26, 72, 155, 181, 385
Verfijnd:	355
Verleidelijk:	364
Vernielzuchtig:	233
Verstandig:	2, 40, 41, 46, 57, 83, 108, 143, 149, 154, 157, 179, 182, 209, 213, 223, 236, 251, 261, 269, 272, 275, 280, 301, 303, 306, 307, 310, 311, 312, 316, 319, 327, 331, 338, 342, 344, 346, 355, 372, 386, 387, 396
Verstrooid:	331
Vertrouwelijk:	43, 74, 85, 135, 186, 238, 31
Verwoed:	92, 394
Verzoenend:	335
Verzorgd:	349
Vijandig:	323
Vindingrijk:	220, 237, 319
Vinnig:		369, 391
Vitaal:		183, 281, 383
Vlijtig:	26, 116, 160, 339, 373
Volgzaam:	15, 23, 63, 111, 119, 158, 225, 237, 303
Volhardend:	9, 17, 26, 31, 93, 120, 146, 151, 204, 275, 313, 316, 321, 342
Volhoudend:	75, 279, 299, 324, 342
Volwassen:	163
Vooruitziend:	20, 27, 218, 340, 351, 381
Voorzichtig:	10, 14, 27, 57, 70, 72, 86, 93, 100, 116, 120, 127, 140, 147, 151, 153, 155, 160, 173, 176, 177, 188, 192, 211, 212, 216, 223, 225, 238, 242, 254, 257, 260, 265, 266, 269, 272, 288, 289, 292, 298, 303, 306, 310, 313, 316, 318, 340, 373, 387
Vredelievend:	14, 15, 27, 99, 108, 112, 120, 251, 252, 272, 293, 296, 312, 315, 318
Vreedzaam:	99, 100, 143, 154, 156, 163, 215, 241, 262, 282, 296, 314, 316, 322, 324, 327, 330, 338, 343, 345, 348, 361, 373, 390
Vreemd:		108
Vreesachtig:	29, 73, 79, 140, 153, 161, 222, 225, 276, 315, 358
Vreugdevol:	375
Vriendelijk:	25, 29, 30, 39, 59, 65, 83, 288, 304, 309, 311, 313, 314, 321, 327, 338, 343, 348, 354, 391
Vrijheidslievend:27, 114, 134, 346, 349, 381
Vrijmoedig:	33, 200
Vrolijk:	2, 40, 50, 59, 71, 81, 109, 127, 164, 170, 209, 228, 236, 260, 261, 268, 277, 285, 298, 324, 336, 337, 351, 352, 372, 373, 379, 383, 396
Waakzaam:	45, 115, 136, 175, 178, 180, 214, 220, 225, 227, 245, 250, 252, 285, 321, 323, 328, 329, 338, 342, 354, 355, 357
Waardig:	17, 135, 136, 143, 240, 241, 256
Wakker:		58, 174, 282, 336
Wantrouwig:	15, 229, 276, 300, 384
Weinig kieskeurig:347
Wereldwijs:	337
Werkend:	309, 312, 324, 363
Werklustig:	312, 344
Werkzaam:	27, 233, 321
Wijs:		321, 322
Wild:		19, 54, 58, 167, 239, 364
Wilskrachtig:	78, 83
Wispelturig:	86, 235, 246
Zacht:		47, 136
Zachtaardig:	39, 106, 108, 147, 153, 154, 157, 169, 171, 179, 198, 215, 245, 251, 252, 256, 275, 288, 338, 348
Zanglustig:	209, 382, 387, 396
Zeker:		17
Zeldzaam:	23, 378
Zelfbewust:	57, 71, 211, 212, 269, 364, 393
Zelfredzaam:	133, 332
Zelfstandig:	39, 42, 51, 63, 129, 145, 158, 164, 234, 335, 310
Zelfzeker:	19, 172, 388
Zelfzuchtig:	38
Zenuwachtig:	347
Zindelijk:	71, 237
Zorgeloos:	193, 246, 329, 352
Zorgvuldig:	116, 221
Zorgzaam:	2, 13, 36, 40, 51, 75, 88, 89, 93, 104, 120, 136, 154, 164, 181, 254, 266, 270, 271, 314, 320, 322, 328, 341, 357, 368, 373, 374, 375, 380, 385, 392
Zuinig:		171
Zwaar:		385, 388
Zwervend:	24, 76, 96, 199, 232, 261, 283, 290, 305, 339, 344, 349, 353, 389
Zwerver:	305, 339, 344, 353
Zwijgzaam:	27, 35, 142, 148, 201, 290, 311, 391
